Año;Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la infromación facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
2024;45371;Hombre;España;Guipúzcoa;En pareja;1 noche;;6;;NS/NC;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;NS/NC;8;10;10;Sí;NS/NC;10;9;;9;No ha buscado información;5;NS/NC;45-64;;Ocio, recreo y vacaciones;10;NS/NC;NS/NC;10;PIT del Paseo del Prado;Coche particular;10;NS/NC
2024;45371;Mujer;España;Valencia;En familia;2 noches;;3;;NS/NC;NS/NC;;Los había visto anteriormente;;9;10;9;9;7;8;7;9;8;Sí;7;7;8;;8;No ha buscado información;6;10;45-64;;Ocio, recreo y vacaciones;9;8;7;8;Centro de Turismo de la Plaza Mayor;Tren;9;7
2024;45371;Hombre;Australia;;En pareja;De 4 a 7 noches;;9;esmadrid;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Internet/web (Indicar páginas);10;10;45-64;esmadrid;Ocio, recreo y vacaciones;10;10;9;10;Centro de Turismo de la Plaza Mayor;Avión;10;9
2024;45371;Hombre;España;Soria;En pareja;2 noches;;8;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;NS/NC;10;10;10;Sí;NS/NC;9;10;;9;No ha buscado información;2;8;+65;;Ocio, recreo y vacaciones;10;NS/NC;NS/NC;9;PIT del Paseo del Prado;Autobús;10;9
2024;45371;Hombre;España;Madrid;Sólo;Residente;;8;;8;9;;Los había visto anteriormente;;8;8;8;8;8;7;7;8;8;Sí;NS/NC;NS/NC;8;;8;No ha buscado información;7;8;45-64;;Residente;7;8;NS/NC;7;PIT del Aeropuerto T-2;Coche particular;8;7
2024;45371;Mujer;España;Madrid;Residente;Residente;;3;;NS/NC;9;;Los había visto anteriormente;;9;10;9;9;7;8;8;9;8;Sí;8;8;9;;8;No ha buscado información;8;10;+65;;Residente;10;9;8;8;PIT de Callao;Residente;9;8
2024;45371;Hombre;España;Madrid;Sólo;Residente;;8;;8;9;;Los había visto anteriormente;;9;8;8;9;9;7;8;9;8;Sí;NS/NC;NS/NC;8;;8;Correo postal o electrónico;7;9;25-44;;Residente;9;9;NS/NC;9;PIT del Aeropuerto T-2;Residente;8;8
2024;45371;Mujer;España;Islas Baleares;Sólo;Excursionista;;5;;7;NS/NC;;Los había visto anteriormente;;10;10;10;10;6;3;5;7;4;Sí;4;4;7;;7;No ha buscado información;3;7;25-44;;Tránsito;10;7;4;3;PIT del Aeropuerto T-4;Avión;10;4
2024;45371;Mujer;España;Burgos;Con amigos;2 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;8;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de CentroCentro;Autobús;10;9
2024;45371;Hombre;España;Madrid;Residente;Residente;;8;;8;NS/NC;;Los había visto anteriormente;;9;9;8;8;9;9;9;9;8;Sí;NS/NC;NS/NC;9;;9;No ha buscado información;5;9;45-64;;Residente;9;9;NS/NC;8;PIT de Atocha;Residente;9;9
2024;45371;Hombre;España;Murcia;En pareja;3 noches;;10;www.esmadrid.com;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;9;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;PIT de CentroCentro;Tren;10;10
2024;45371;Mujer;España;Madrid;Residente;Residente;;8;;9;NS/NC;;Los había visto anteriormente;;9;9;9;9;9;8;9;9;7;Sí;NS/NC;NS/NC;9;;9;No ha buscado información;7;9;45-64;;Residente;9;9;NS/NC;8;PIT de Atocha;Residente;9;9
2024;45371;Mujer;España;Cuenca;En familia;Excursionista;;8;;7;8;;Los ha encontrado en su recorrido;;8;8;8;8;8;8;9;8;8;Sí;8;8;8;;8;No ha buscado información;8;9;45-64;;Tránsito;8;8;8;8;PIT del Aeropuerto T-2;Avión;9;9
2024;45371;Hombre;España;Barcelona;En pareja;2 noches;;7;blogs y RRSS;9;NS/NC;;Los ha encontrado en su recorrido;;9;9;9;9;8;8;9;9;8;Sí;NS/NC;NS/NC;9;;9;Internet/web (Indicar páginas);7;9;45-64;;Ocio, recreo y vacaciones;9;9;NS/NC;8;PIT de Atocha;Tren;9;9
